heading,aliases,domain,definition,advantages,disadvantages,applications,code,extras
Min Heap,"['Minimum Heap', 'Priority Queue', 'Smallest Element First']",Data Structures,"A min heap is a complete binary tree where each parent node is less than or equal to its child nodes. It maintains the property that the smallest element is always at the root, and the heap ordering is typically done using a comparison function.","['Minimizes the number of comparisons required to find the smallest element', 'Supports efficient insertion and deletion operations with logarithmic time complexity', 'Maintains the heap property with each operation, ensuring the smallest element remains at the root', 'Can be used for sorting and priority queuing applications', 'Has a compact storage representation compared to other data structures like arrays or linked lists', 'Supports efficient merging of multiple min heaps into a single heap']","['May require additional memory for storing the tree structure', 'Insertion and deletion operations can be slow due to shifting nodes in the tree', 'Requires more complex implementation compared to other data structures like arrays or linked lists', 'Can become unbalanced if elements are inserted or deleted frequently at one end of the heap', 'Does not support fast search, insertion, or deletion operations for arbitrary positions in the heap']","['Sorting algorithms, such as Heapsort and Priority Queue sort', 'Priority queuing systems where tasks need to be executed based on their priority level', 'Memory management, like heap allocation and deallocation in operating systems', ""Dijkstra's algorithm for finding the shortest path in a graph"", 'Bellman-Ford algorithm for finding the minimum distance from the source node to all other nodes in a weighted graph']","#include <stdio.h>
#include <stdlib.h>

// Define the Min Heap structure with array and size fields
typedef struct {
    int* arr;
    int size;
} MinHeap;

// Function to create a new min heap with initial capacity
MinHeap* createMinHeap(int initialCapacity) {
    MinHeap* minHeap = (MinHeap*) malloc(sizeof(MinHeap));
    minHeap->arr = (int*) malloc(initialCapacity * sizeof(int));
    minHeap->size = 0;
    return minHeap;
}

// Function to insert a new element into the min heap
void insertElement(MinHeap* minHeap, int element) {
    if (minHeap->size == minHeap->arr[0]) {
        // If array is full, double its capacity and re-heapify
        int* tempArr = (int*) malloc(2 * minHeap->arr[0] * sizeof(int));
        for (int i = 0; i < minHeap->size; i++) {
            tempArr[i] = minHeap->arr[i];
        }
        free(minHeap->arr);
        minHeap->arr = tempArr;
    }
    minHeap->arr[minHeap->size] = element;
    int index = minHeap->size++;
    while (index != 0) {
        // Heapify the array to maintain heap property
        if (minHeap->arr[parent(index)] > minHeap->arr[index]) {
            // Swap elements and move up the tree
            int temp = minHeap->arr[parent(index)];
            minHeap->arr[parent(index)] = minHeap->arr[index];
            minHeap->arr[index] = temp;
            index = parent(index);
        } else {
            break;
        }
    }
}

// Function to print the min heap elements in sorted order
void printMinHeap(MinHeap* minHeap) {
    for (int i = 0; i < minHeap->size; i++) {
        printf(""%d\n"", minHeap->arr[i]);
    }
}

// Example usage of the Min Heap data structure
int main() {
    // Create a new min heap with initial capacity 10
    MinHeap* minHeap = createMinHeap(10);

    // Insert elements into the min heap in ascending order
    insertElement(minHeap, 15);
    insertElement(minHeap, 5);
    insertElement(minHeap, 3);
    insertElement(minHeap, 18);
    insertElement(minHeap, 2);
    insertElement(minHeap, 9);

    // Print the sorted elements in the min heap
    printMinHeap(minHeap);

    return 0;
}",[]
Max Heap,"['Max Binary Heap', 'Max Heap Data Structure', 'Maximum Heap']",Data Structures,"A max heap is a complete binary tree where each parent node is greater than or equal to its child nodes. It satisfies the heap property, which states that for any given node I, the value of I is either greater than or equal to the values of its children.","['Efficient insertion and deletion operations', 'Satisfies the heap property, making it suitable for priority queues and sorting algorithms', 'Supports efficient merge and extract-max operations', ""Can be used as a data structure in graph algorithms such as Dijkstra's algorithm"", 'Has a time complexity of O(log n) for insertion and deletion operations']","['Does not support efficient search or retrieval operations', 'Requires extra memory to store the heap property', 'Insertion and deletion operations can be complex if not implemented correctly', 'Not suitable for applications where data is frequently updated', 'Can be slow for large datasets due to the need to maintain the heap property']","['Priority queues in operating systems', 'Sorting algorithms such as heapsort', ""Graph algorithms like Dijkstra's algorithm and Prim's algorithm"", 'Memory management in computer systems', 'Database query optimization']","typedef struct node { int key; struct node *left, *right; } node_t;

void insert_max_heap(node_t **root, int key) {
    if (!(*root)) {
        (*root) = (node_t *)malloc(sizeof(node_t));
        (*root)->key = key;
        return;
    }
    if (key > (*root)->key) {
        insert_max_heap(&((*root)->right), key);
    } else {
        insert_max_heap(&((*root)->left), key);
    }
}

int extract_max(node_t *root) {
    int max_key = root->key;
    node_t *temp = root;
    if (root->left == NULL) {
        *root = root->right;
    } else if (root->right == NULL) {
        *root = root->left;
    } else {
        temp = root->left;
        while (temp->right != NULL) {
            temp = temp->right;
        }
        root->key = temp->key;
        node_t *tmp = temp;
        temp = root->right;
        root->right = tmp->left;
        free(tmp);
    }
    free(temp);
    return max_key;
}",[]
Heap Sort,"['Heap Sort Algorithm', 'Heapify and Extract Min', 'Binary Heap Sorting']",Algorithms,"Heap sort is a comparison-based sorting algorithm that uses a binary heap data structure. It first builds a max heap, then repeatedly removes the maximum element from the heap and places it at the end of the sorted array, reducing the size of the heap by one in each step.","['Time complexity: O(n log n) on average, making it efficient for large datasets.', 'In-place sorting, meaning it does not require any additional storage space beyond the input array.', 'Stable algorithm, maintaining the relative order of equal elements.', 'Simple to implement and understand, with a clear and concise code structure.', 'Works well on both small and large datasets, making it suitable for various applications.']","['Requires extra memory for the heap data structure, although in-place variants exist.', ""Not a stable sorting algorithm when considering equal elements' order."", 'Has a high time complexity compared to other algorithms like insertion sort or counting sort.', 'May not be as efficient on already-sorted or nearly sorted inputs.', 'Can be less cache-friendly due to the heap operations.']","['General-purpose sorting, particularly useful when input size is large or data is dynamic.', 'Priority queue implementation using a binary heap structure.', 'Efficient sorting of arrays with distinct elements, especially in embedded systems.', 'Stable sorting requirements are met in applications like data compression and cryptography.', 'Used in database query optimization for efficient sorting of query results.']","#include <stdio.h>
#include <stdlib.h>

void heapify(int arr[], int n, int i) {
	int largest = i;
	int left = 2 * i + 1;
	int right = 2 * i + 2;

	if (left < n && arr[left] > arr[largest])
		largest = left;

	if (right < n && arr[right] > arr[largest])
		largest = right;

	if (largest != i)
	{
		int temp = arr[i];
		arr[i] = arr[largest];
		arr[largest] = temp;
		heapify(arr, n, largest);
	}
}

void heap_sort(int arr[], int n) {
	for (int i = n / 2 - 1; i >= 0; i--) {
		heapify(arr, n, i);
	}

time_t start, end;
start = time(NULL);

	for (int i = n - 1; i > 0; i--) {
		heapify(arr, i + 1, 0);
		int temp = arr[0];
		arr[0] = arr[i];
		arr[i] = temp;
		heapify(arr, i, 0);
	}
end = time(NULL);
printf(""Time taken: %f seconds\n"", difftime(end, start));
}

int main() {
	int n;
	printf(""Enter the number of elements:\n"");
scanf(""%d"", &n);

	int* arr = (int*)malloc(n * sizeof(int));
	for (int i = 0; i < n; i++)
	{
		printf(""Enter element %d:\n"", i + 1);
		scanf(""%d"", &arr[i]);
	}

	heap_sort(arr, n);

	printf(""Sorted array:\n"");
	for (int i = 0; i < n; i++)
	{
		printf(""%d\t"", arr[i]);
	}
free(arr);
return 0;
}","['Heap sort is a stable sorting algorithm, but it can be unstable when considering the order of equal elements.', 'The choice between heap sort and other algorithms like quicksort or mergesort depends on factors such as input size, data distribution, and implementation requirements.', 'To improve the performance of heap sort on already-sorted or nearly sorted inputs, consider using a variant that takes advantage of this property.', 'Heap sort is not suitable for sorting arrays with very small sizes (e.g., less than 10 elements), due to its high overhead in terms of function calls and memory allocation.']"
Insertion Sort,"['Ascending Order Sort', 'Sequential Insertion', 'In-Place Sorting']",Data Structures,"A sorting algorithm that works by dividing the input into a sorted and an unsorted region, iterating through the unsorted region, and inserting each element into its correct position in the sorted region.","['Efficient for small arrays or nearly sorted lists', 'In-place sorting, requiring minimal additional memory', 'Simple implementation, making it easy to understand and maintain']","['Time complexity is O(n^2) in the worst case', 'Not suitable for large datasets due to high time complexity', 'May require multiple passes through the data if the list is nearly sorted']","['Sorting small lists or arrays of integers, characters, or other comparable elements', 'Maintaining a partially ordered dataset, such as a binary search tree', 'Implementing a priority queue or heap data structure']","int insertionSort(int arr[], int n)
{
	for (int i = 1; i < n; i++)
	{
		int key = arr[i];
		int j = i - 1;
		while (j >= 0 && arr[j] > key)
		{
			arr[j + 1] = arr[j];
		　j--;
		}
		arr[j + 1] = key;
	}
	return 0;
}","['Insertion sort can be implemented with a variety of initialization methods, such as using a random permutation or a nearly sorted list', 'The algorithm has been adapted for use in external sorting algorithms, where the data is too large to fit in memory']"
Selection Sort,"['Exchange Sort', 'Straight Selection Sort', 'Select Sort']",Data Structures,"Selection sort is a simple sorting algorithm that works by repeatedly finding the minimum element from unsorted part and putting it at the beginning. The algorithm maintains two subarrays in a given array: the subarray which is already sorted, and the remaining subarray which is unsorted. In every iteration of selection sort, the minimum element from the unsorted subarray is picked and moved to the sorted subarray.","['Simple to implement', 'Efficient for small datasets', 'In-place sorting (does not require additional storage)', 'Stable sorting algorithm', 'Adaptable to different data types']","['Not suitable for large datasets due to high time complexity', 'Time complexity of O(n^2) makes it inefficient for large datasets', 'Not adaptive to input size', 'Inefficient in practice compared to other sorting algorithms like quicksort or mergesort']","['Used as a simple example to illustrate the concept of sorting algorithms in introductory programming courses', 'Can be used as a base for more complex sorting algorithms, such as modified selection sort', 'Has applications in certain real-world scenarios where simplicity is prioritized over efficiency, such as in embedded systems or resource-constrained devices']","void selectionSort(int arr[], int n) {
int i, j, minIdx;
for (i = 0; i < n-1; i++) {
minIdx = i;
for (j = i+1; j < n; j++)
if (arr[j] < arr[minIdx])
minIdx = j;
swap(arr[i], arr[minIdx]);
}
}",[]
Bubble Sort,"['Bubble Sort Algorithm', 'Bubblesort', 'Comparison-Based Sorting']",Data Structures,"Bubble sort is a simple sorting algorithm that repeatedly steps through the list, compares adjacent elements and swaps them if they are in the wrong order. The pass through the list is repeated until the list is sorted.","['Simple to implement', 'Efficient for small data sets', 'In-place sorting', 'Stable sorting algorithm', 'Does not require additional memory', 'Can be easily parallelized']","['Not efficient for large data sets (O(n^2) time complexity)', 'Not suitable for real-time systems due to its sequential nature', 'Sensitive to input order and initial arrangement of elements']","['Educational purposes: easy to understand and implement', 'Small data sets or embedded systems where memory is limited', 'Stability is a requirement (e.g., sorting linked lists)', 'Real-time systems with small, predictable data sets']","int bubbleSort(int arr[], int n){
for (int i = 0; i < n-1; i++){
 for (int j = 0; j < n-i-1; j++) {
 if (arr[j] > arr[j+1]) {
 // Swap arr[j] and arr[j+1]
 int temp = arr[j];
 arr[j] = arr[j+1];
 arr[j+1] = temp;
 }
 }
 }
 return 0;}",[]
Counting Sort,"['Radix sort', 'Bucket sort', 'Counting algorithm']",Data Structures,Counting sort is a sorting algorithm that works by counting the number of objects having distinct key values. It is an integer sorting algorithm which sorts in O(n + k) time.,"['Efficient for large datasets with a small range of input numbers', 'Simple to implement', ""In-place sorting, i.e., it doesn't require any extra space"", 'Stable sort', 'Works well for sparse data']","['Requires extra memory proportional to the range of input values', 'Not suitable for large datasets with a large range of input numbers', 'Not a comparison-based sorting algorithm, hence not stable when compared with other sorting algorithms like merge sort and quick sort', 'Limited applicability due to the assumption that all inputs are integers in a given range']","['Sorting integers within a specific range, such as employee IDs or scores', 'Counting the frequency of each element in an array', 'Efficient sorting for sparse data where most elements fall into a small range', 'Radix sort variant: counting sort can be used to count the occurrences of each digit in a given radix sort']","int main() {
 int arr[] = {4, 2, 2, 8, 3, 3, 1};
 int max = *max_element(arr, arr + 6) + 1;
 int *freq = new int[max];
 for (int i = 0; i < max; ++i)
 freq[i] = 0;
 for (int i : arr)
 ++freq[i];
 for (int i = 1; i < max; ++i)
 freq[i] += freq[i - 1];
 int *output = new int[6];
 for (int i : arr) output[--freq[i]] = i;
 for (int i = 0; i < 6; ++i) printf(""%d "", output[i]);
 delete[] freq; delete[] output;
 return 0;
}",[]
Radix Sort,"['Radix Sort Algorithm', 'Digit-by-Digit Sorting', 'Base- Radix Sorting']",Algorithms,A non-comparative integer sorting algorithm that sorts numbers digit by digit from least significant digit to most. It's based on counting the occurrences of each digit value in a given array.,"['Radix sort has a time complexity of O(nk), where n is the number of elements and k is the number of digits in the maximum element, making it efficient for large datasets with small to moderate numbers of digits.', ""It's not affected by the order of input, so it can handle any type of data."", 'Radix sort has a space complexity of O(n + k) due to the counting arrays used.', 'This algorithm is stable and non-destructive, preserving the relative order of equal elements.', 'Radix sort can be parallelized for further efficiency in multi-core processors.', 'The process only requires one pass through the data.', ""It's a divide-and-conquer approach that makes it easy to implement.""]","['This algorithm is not suitable for sorting large numbers or numbers with a high number of digits due to its exponential time complexity.', 'Radix sort may be slower than other algorithms like quicksort or mergesort for smaller inputs.', 'It requires a significant amount of extra memory to store the counting arrays.', 'Radix sort assumes that each element is an integer, which can limit its applicability in certain scenarios.']","['Sorting large datasets of integers with small to moderate numbers of digits', 'Stable sorting required for preserving order of equal elements', 'Real-time data processing where speed and stability are crucial']","char array[100];
int i, j;
freq[10] = {0};

for(i=0; i<100; i++) {
if (array[i] >= '0' && array[i] <= '9')
{
int digit = array[i] - '0';
++freq[digit];
}}
freq[10] = 0;

for(i=1; i<10; i++) {
if (freq[i] != 0)
{
for(j=0; j<100; j++)
if (array[j] >= '0' && array[j] <= '9')
{
digit = array[j] - '0';
if (digit == i) {
printf(""%d\n"", j);
freq[10]++; // increment count
}
}}}
freq[10]--;",[]
Bucket Sort,"['Bucketing Algorithm', 'Non-Comparison Sorting Algorithm', 'Distributed Sort']",Data Structures,A sorting algorithm that works by dividing the input list into buckets and then sorting these buckets individually. Each bucket is a container that holds elements with values within a specific range.,"['Has an average-case time complexity of O(n + k), where n is the number of elements and k is the number of buckets', 'Is efficient for large datasets and can be parallelized to improve performance', 'Does not require comparison operations, making it suitable for sorting complex data types', 'Can handle duplicate values by using multiple buckets or other techniques', 'Has a low space complexity, as only an additional array is required for the buckets']","['Requires prior knowledge of the input data distribution to optimize bucket size and placement', 'May not perform well on datasets with skewed distributions or outliers', 'Can be slow in practice due to overhead from memory allocation and bucket management', 'Does not provide stability, which can lead to issues when sorting by multiple keys', 'May require additional processing steps for partial sorting or in-place sorting']","['Sorting large datasets on distributed systems, such as clusters or cloud infrastructure', 'Efficiently sorting data with complex keys or values', 'Real-time data processing and streaming applications', 'Handling duplicate values or near-duplicate data sets', 'Scientific computing and big data analytics']","int main() {
	const int numElements = 10;
	const int numBuckets = 5;
	elementType arr[numElements];
	bucket b[numBuckets];

	// Initialize buckets with default values
	for (int i = 0; i < numBuckets; ++i) {
		b[i].minValue = INT_MAX;
	}

	// Insert elements into the appropriate bucket
	for (int i = 0; i < numElements; ++i) {
		elementType val = arr[i];
		int bucketIndex = determineBucket(val, numBuckets);
		b[bucketIndex].insert(val);
	}

	// Sort the buckets individually
	for (int i = 0; i < numBuckets; ++i) {
	tb[i].sort();
	}

	// Collect and return the sorted elements
	elementType sortedArr[numElements];
	int j = 0;
	for (int i = 0; i < numBuckets; ++i) {
		sortedArr[j++] = b[i].getMinValue();
	}

	return 0;
}",[]
Shell Sort,"['Shellsort', 'Comparison-based sort', 'Incremental sort']",Data Structures,Shell sort is a comparison-based sorting algorithm that generalizes the insertion sort by allowing the comparison and exchange of far-apart elements. It was developed by Donald L. Shell in 1959.,"['Efficient for partially sorted lists, having an average time complexity of O(n log n)', 'Simple to implement', 'In-place sorting, requiring minimal extra memory', 'Stable sorting algorithm, preserving the order of equal elements', 'Works well for small datasets', 'Can be used as a drop-in replacement for other sorting algorithms in some cases']","['Worst-case time complexity of O(n^2)', 'Not suitable for large datasets or nearly sorted lists', 'May not perform well on data with many duplicates', 'Implementation-dependent, with various shell sequences possible', 'Requires extra memory to store the temporary array during sorting']","['Sorting partially ordered lists, such as those resulting from prior sorting operations', 'Improving performance of other sorting algorithms by pre-sorting and re-sorting smaller sublists', 'In-place sorting in systems with limited memory resources', 'Efficiently sorting data on disks or other external storage devices']","#include <stdio.h>
#include <stdlib.h>
#define N 10
int arr[N] = {5, 2, 8, 1, 9, 3, 7, 6, 4};
void shellsort(int* arr, int n){
    int gap, i, j;
gap = n / 2;
while (gap > 0) {
        for (i = gap; i < n; i++) {
            j = i;
            while ((j >= gap) && ((arr[j] - arr[j-gap]) > 0)) {
                arr[j - gap] = arr[j];
                j -= gap;
            }
            arr[j + gap] = arr[j];
        }
        gap /= 2;
    }
}

int main(){
    shellsort(arr, N);
    for (int i = 0; i < N; ++i)
        printf(""%d "", arr[i]);
    return 0;
}",[]
Graph,"['Graph Data Structure', 'Network Graph', 'Adjacency List', 'Edge-Weighted Graph']",Data Structures,"A graph is a non-linear data structure consisting of nodes or vertices connected by edges. Each node represents an entity, and each edge represents a relationship between two entities. A graph can be directed (edges have direction) or undirected (edges do not have direction). The graph can also contain weights or labels on the edges to represent additional information.","['Allows for efficient representation of complex relationships', 'Can model real-world systems with many interactions', 'Supports various types of queries, such as shortest path and minimum spanning tree', 'Can be used for data compression and optimization', 'Enables visualization of large datasets', 'Facilitates clustering and community detection', 'Supports graph traversal algorithms like BFS and DFS', 'Can model dynamic systems with changing relationships']","['Requires significant memory to store edges and nodes', 'Queries can be computationally expensive for large graphs', 'Difficult to navigate and traverse for very large graphs', 'Does not handle insertions, deletions, or updates efficiently', 'Limited support for concurrent operations', 'Sensitive to data quality and noise in the graph']","['Social network analysis and recommendation systems', 'Traffic flow optimization and route planning', 'Recommendation engines and collaborative filtering', ""Web page ranking and link analysis (Google's PageRank algorithm)"", 'Biological network analysis and protein-protein interaction prediction', 'Traffic congestion detection and emergency response systems', 'Image processing and computer vision applications']","typedef struct Node { int data; struct Node* next; } Node;

typedef struct Graph { int V, E; Node** adj_list; } Graph;

void addEdge(Graph* graph, int src, int dest) {
	graph->adj_list[src] = (Node*)realloc(graph->adj_list[src], sizeof(Node));
	graph->adj_list[src]->data = dest;
	graph->adj_list[src]->next = graph->adj_list[dest];
}

void printGraph(Graph* graph) {
	for (int i = 0; i < graph->V; ++i)
		printf(""Vertex %d\n"", i);
	Node* temp;
	for (int v = 0; v < graph->V; ++v)
	{
		emp = graph->adj_list[v];
	or (; temp != NULL; temp = temp->next)
		printf(""Edge (%d, %d)\n"", v, temp->data);
	}
}",[]
Directed Graph,"['Directed Network', 'One-Way Graph', 'Oriented Graph']",Data Structures,"A directed graph is a type of graph where edges have direction. Each edge represents a one-way connection between two vertices, indicating the flow of information or relationship. Directed graphs are used to model situations where there is an order or precedence between relationships.","['Allows modeling of one-way relationships and dependencies', 'Can represent complex networks with multiple directions', 'Supports topological sorting and other algorithms for analyzing directed acyclic graphs (DAGs)', 'Enables efficient computation of shortest paths and minimum spanning trees', 'Suitable for modeling social networks, communication systems, and traffic flow', 'Easy to implement using adjacency matrices or linked lists', 'Can be used in various applications such as scheduling, planning, and optimization']","['Requires more memory than undirected graphs due to edge directionality', 'Can be difficult to visualize and analyze for large datasets', 'May require specialized algorithms for topological sorting and other tasks', 'Not suitable for applications where bidirectional relationships are necessary', 'Can lead to cycles, which may need to be detected and handled', 'More complex than undirected graphs in terms of implementation and analysis']","['Social network analysis: modeling friendships, followerships, and other relationships', 'Traffic flow analysis: representing one-way streets and traffic signals', 'Communication system design: modeling data transmission and routing', 'Scheduling algorithms: using topological sorting for efficient task scheduling', 'Planning and optimization: applying shortest paths and minimum spanning trees', 'Biology and epidemiology: modeling the spread of diseases through directed networks', 'Computer vision: analyzing image features and object relationships']","#include <stdio.h>
#include <stdlib.h>

// Define a structure for vertices and edges
struct Vertex {
    int id;
    struct Edge* edges;
};

struct Edge {
    int dest;
    struct Edge* next;
};

// Function to add an edge between two vertices
void add_edge(struct Vertex* v, int dest) {
    // Create a new edge and append it to the list of edges
    struct Edge* e = (struct Edge*) malloc(sizeof(struct Edge));
    e->dest = dest;
    e->next = v->edges;
    v->edges = e;
}

// Function to print the adjacency list representation of a directed graph
void print_graph(struct Vertex* vertices, int num_vertices) {
    for (int i = 0; i < num_vertices; i++) {
        printf(""Vertex %d: "", i);
        struct Edge* e = vertices[i].edges;
        while (e != NULL) {
            printf(""-> %d"", e->dest);
            e = e->next;
        }
        printf(""\n"");
    }
}

int main() {
    // Create a sample directed graph with 5 vertices and edges
    struct Vertex vertices[5];
    for (int i = 0; i < 5; i++) {
        vertices[i].id = i;
        vertices[i].edges = NULL;
    }

    add_edge(&vertices[0], 1);
    add_edge(&vertices[0], 2);
    add_edge(&vertices[1], 3);
    add_edge(&vertices[2], 4);

    print_graph(vertices, 5);
    return 0;
}",[]
Undirected Graph,"['simple graph', 'non-oriented graph', 'unweighted graph', 'undirected network']",Data Structures,"An undirected graph is a type of graph in which the edges do not have direction. In other words, an edge (u, v) implies that there is a connection between vertices u and v, and also between vertices v and u. This means that every edge has two endpoints, but they are considered identical.","['Simplified edge representation', 'Reduced storage requirements compared to directed graphs', 'Faster traversal algorithms', 'More intuitive visualization', 'Easier to understand and analyze', 'Supports various graph operations', 'Can be used in many applications, including social networks and transportation systems']","['May require additional memory for storing edge weights or other attributes', 'Traversals may need to consider both directions of edges', 'Some algorithms assume a directed graph model', 'Limited applicability in scenarios where direction matters', 'More complex to implement certain operations, such as finding strongly connected components']","['Social network analysis: modeling friendships and relationships without considering direction', 'Transportation systems: representing roads and highways without distinguishing between one-way streets', 'Communication networks: designing communication protocols for undirected connections', 'Biology: modeling gene regulatory networks or protein interactions', 'Computer science: using undirected graphs to represent algorithmic problems, such as finding minimum spanning trees']","#include <stdio.h>#include <stdlib.h>typedef struct{ int v; struct edge *next;}vertex;typedef struct edge {int dest;struct edge *next;}edge;void add_edge(vertex **graph, int src, int dst){edge *new_edge = (edge *)malloc(sizeof(edge));new_edge->dest = dst;new_edge->next = (*graph)->edges;(*graph)->edges = new_edge;if ((*graph)->first == NULL){(*graph)->first = new_edge;}else{while ((*graph)->last->next != NULL){(*graph)->last = (*graph)->last->next;}(*graph)->last->next = new_edge;(*graph)->last = new_edge;}}void print_graph(vertex *graph){vertex *v;edge *e;if (graph == NULL){printf(""Empty graph\n"");}else{printf(""Graph:\n"");for (v = graph; v != NULL; v = v->next){printf(""Vertex %d:\n"", v->v);e = v->edges;while (e != NULL){printf(""Edge to vertex %d\n"", e->dest);e = e->next;}}}}
int main(){vertex *graph = NULL;add_edge(&graph, 0, 1);add_edge(&graph, 1, 2);add_edge(&graph, 2, 3);print_graph(graph);
return 0;}",[]
Weighted Graph,"['Weighted Graph Data Structure', 'Edge-Weighted Graph', 'Graph with Weights']",Data Structures,"A weighted graph is a type of graph in which each edge has a weight or label associated with it, representing the cost or distance between the vertices connected by that edge. Weighted graphs can be used to model various real-world systems, such as transportation networks, social networks, and communication networks.","['Allows for efficient calculation of shortest paths between nodes', 'Supports determination of minimum spanning trees', 'Can handle negative weight edges, making it suitable for applications like finding the longest path in a graph', 'More accurate representation of real-world systems than unweighted graphs', 'Flexible and adaptable to different problem domains', 'Provides more information about the relationships between nodes', ""Supports various algorithms like Dijkstra's algorithm and Bellman-Ford algorithm"", 'Can be used for modeling complex systems with multiple attributes', 'Allows for efficient implementation of graph traversal algorithms']","['More computationally intensive than unweighted graphs due to the need to handle weights', 'Requires more memory to store edge weights', 'May not be suitable for very large datasets due to increased computational complexity', 'Difficult to visualize and understand without proper representation tools', 'Can lead to increased complexity in algorithms and data structures', 'Not all algorithms can take advantage of the weighted information', 'More susceptible to errors if edge weights are not properly assigned or updated', 'May require more resources for certain operations like shortest path calculation']","['Network analysis and modeling (e.g., social networks, transportation systems)', 'Recommendation systems based on similarity metrics', 'Machine learning algorithms that rely on graph structures', 'Computing the minimum spanning tree of a weighted graph', 'Finding the longest path in a directed acyclic graph', 'Traffic simulation and optimization using graphs with edge weights', 'Resource allocation problems in supply chain management', 'Determining the optimal path in a complex network like the internet']","typedef struct { int src, dest; double weight; } Edge;

int main() {
	// Initialize graph with vertices and edges
	int V = 5, E = 7;
	Edge edges[] = {{0, 1, 2.5}, {0, 2, 1.8}, {1, 3, 4.2}, {1, 4, 3.1}, {2, 4, 6.1}, {3, 4, 7.9}, {3, 0, 2.5}};
	// Create adjacency list representation
	int* adj[5] = {{0}, {1, 2, 3, 4}, {1, 4}, {0, 1, 4}, {0, 2, 3, 4}};
	
	// Implementation of Dijkstra's algorithm to find shortest paths
	int dist[V];
	bool visited[V];
	for(int i = 0; i < V; i++) {
		visited[i] = false;
	}
	
	dist[0] = 0;
	for(int i = 0; i < V; i++) {
		// Relax edges to find shortest paths
		int u = -1, v = -1;
		double minWeight = INFINITY;
		for (int j = 0; j < E; j++) {
			if (!visited[edges[j].src] && edges[j].weight < minWeight) {
				pair<int, int> temp = {edges[j].src, edges[j].dest};
				u = temp.first;
				v = temp.second;
				minWeight = edges[j].weight;
			}
		}
		if (u == -1 || v == -1) break;
		visited[u] = true;
		for(int k = 0; k < adj[v].size(); k++) {
			int w = adj[v][k];
			if (!visited[w]) {
				// Update distance for adjacent vertex
				dist[w] += edges[edges[j].src == u ? j + 1 : j - 1].weight;
			}
		}
	}
	for(int i = 0; i < V; i++) {
		printf(""Vertex %d: Shortest distance from source vertex \n"", i);
	}
eturn 0;
}",[]
Adjacency Matrix,"['adjacency matrix representation', 'adjacency matrix data structure', 'matrix-based graph representation']",Data Structures,"An adjacency matrix is a square matrix used to represent a finite graph. The entries of the matrix indicate whether pairs of vertices are adjacent or not. If there is an edge between two vertices i and j, then the entry at row i and column j (or vice versa) is typically denoted by a 1; otherwise, it may be 0 or another value depending on the specific implementation.","['Efficient representation of sparse graphs', 'Easy to implement graph operations such as edge addition and removal', 'Simple to compute shortest paths using matrix multiplication', 'Can be used for finding strongly connected components in a graph', 'Supports efficient traversal of the graph through matrix exponentiation', 'Suitable for applications where the graph is static or changes infrequently', 'Has a low memory footprint compared to other data structures like adjacency lists', 'Well-suited for dense graphs, as most entries can be stored in a compact binary format']","['Inefficient representation of very large sparse graphs due to memory usage and computation time', 'Matrix operations can be computationally expensive for large graphs', 'Less intuitive than adjacency lists for graph traversal and manipulation', 'May have issues with scalability and performance when dealing with massive graphs', 'Not suitable for applications where the graph is highly dynamic or has a complex structure']","['Network analysis and modeling, especially in social network analysis and web graph analysis', 'Computational geometry and spatial analysis, such as map algebra operations', 'Machine learning and data mining, particularly in the context of graph-based methods', 'Bioinformatics and computational biology, like protein interaction networks and gene regulatory networks']","int main() {
  int adjacencyMatrix[5][5] = {{0, 1, 0, 0, 0},
                                     {1, 0, 1, 0, 0},
                                     {0, 1, 0, 1, 0},
                                     {0, 0, 1, 0, 1},
                                     {0, 0, 0, 1, 0}};

  // Example usage: check if there's an edge between vertices 2 and 4
  printf(""%d\n"", adjacencyMatrix[2][4]);
  return 0;
}",[]
